id,brand,model,year,category,rating,displacement_ccm,power_hp,engine_cylinder,fuel_capacity_lts,dry_weight_kg,seat_height_mm
32568,triumph,thunderbird lt,2014,Touring,3.7,1699.0,94.0,Twin,22.0,Unknown,700.0
32569,triumph,thunderbird lt,2016,Touring,3.8,1699.0,94.0,Twin,26.0,349.0,700.0
32570,triumph,thunderbird lt,2017,Touring,3.8,1699.0,94.0,Twin,26.0,349.0,700.0
32571,triumph,thunderbird lt,2018,Touring,3.6,1699.0,94.0,Twin,26.0,349.0,700.0
32572,triumph,thunderbird lt,2019,Touring,Unknown,1699.0,94.0,Twin,26.0,349.0,700.0
34667,yamaha,ag200f,2021,Enduro / offroad,Unknown,196.0,Unknown,Single cylinder,10.0,Unknown,830.0
32573,triumph,thunderbird lt abs,2015,Touring,3.6,1699.0,94.0,Twin,26.0,349.0,700.0
32574,triumph,thunderbird nightstorm,2015,Custom / cruiser,3.7,1699.0,98.0,Twin,22.0,308.0,700.0
32575,triumph,thunderbird nightstorm,2016,Custom / cruiser,3.4,1699.0,98.0,Twin,22.0,308.0,700.0
32576,triumph,thunderbird se,2011,Touring,3.6,1597.0,85.0,Twin,21.95,Unknown,699.0
32581,triumph,thunderbird storm,2011,Custom / cruiser,3.7,1699.0,97.0,Twin,21.95,Unknown,699.0
32582,triumph,thunderbird storm,2012,Custom / cruiser,3.7,1699.0,98.0,Twin,22.0,Unknown,700.0
32583,triumph,thunderbird storm,2013,Custom / cruiser,3.9,1597.0,86.0,Twin,22.0,Unknown,700.0
32584,triumph,thunderbird storm,2014,Custom / cruiser,3.6,1597.0,86.0,Twin,22.0,Unknown,700.0
32585,triumph,thunderbird storm,2016,Custom / cruiser,Unknown,1699.0,98.0,Twin,22.0,308.0,700.0
32586,triumph,thunderbird storm,2017,Custom / cruiser,3.5,1699.0,98.0,Twin,22.0,308.0,700.0
32587,triumph,thunderbird storm,2018,Custom / cruiser,3.5,1699.0,98.0,Twin,22.0,308.0,700.0
32588,triumph,thunderbird storm,2019,Custom / cruiser,Unknown,1699.0,98.0,Twin,22.0,308.0,700.0
32589,triumph,thunderbird storm abs,2015,Custom / cruiser,3.8,1699.0,98.0,Twin,22.0,308.0,700.0
32601,triumph,tiger,2010,Allround,3.9,1050.0,114.0,In-line three,20.0,198.0,835.0
32603,triumph,tiger 1050,2011,Allround,3.8,1050.0,111.0,In-line three,20.06,Unknown,833.0
32604,triumph,tiger 1050,2012,Allround,3.4,1050.0,115.0,In-line three,20.0,Unknown,835.0
32605,triumph,tiger 1050,2013,Allround,3.7,1050.0,115.0,In-line three,20.0,Unknown,835.0
32606,triumph,tiger 1050  se,2011,Allround,3.6,1050.0,111.0,In-line three,20.06,Unknown,833.0
32607,triumph,tiger 1050 se,2013,Allround,3.6,1050.0,115.0,In-line three,20.0,Unknown,835.0
32608,triumph,tiger 1200 alpine edition,2020,Allround,3.6,1215.0,139.0,In-line three,20.0,242.0,835.0
32609,triumph,tiger 1200 desert edition,2020,Allround,3.5,1215.0,139.0,In-line three,20.0,246.0,835.0
32610,triumph,tiger 1200 gt,2022,Allround,Unknown,1160.0,150.0,In-line three,20.0,Unknown,850.0
32611,triumph,tiger 1200 gt explorer,2022,Allround,Unknown,1160.0,150.0,In-line three,29.9,Unknown,850.0
32612,triumph,tiger 1200 gt pro,2022,Allround,Unknown,1160.0,150.0,In-line three,20.0,Unknown,850.0
32613,triumph,tiger 1200 xca,2018,Allround,2.9,1215.0,139.0,In-line three,20.0,248.0,835.0
32614,triumph,tiger 1200 xca,2019,Allround,Unknown,1215.0,139.0,In-line three,20.0,242.0,835.0
32615,triumph,tiger 1200 xca,2020,Allround,Unknown,1215.0,141.0,In-line three,20.0,248.0,855.0
32616,triumph,tiger 1200 xca,2021,Allround,Unknown,1215.0,141.0,In-line three,20.0,248.0,835.0
32617,triumph,tiger 1200 xcx,2018,Allround,Unknown,1215.0,139.0,In-line three,20.0,242.0,835.0
32618,triumph,tiger 1200 xcx,2019,Allround,3.8,1215.0,139.0,In-line three,20.0,248.0,835.0
32619,triumph,tiger 1200 xcx,2020,Allround,Unknown,1215.0,141.0,In-line three,20.0,248.0,835.0
32620,triumph,tiger 1200 xcx,2021,Allround,Unknown,1215.0,141.0,In-line three,20.0,248.0,835.0
32621,triumph,tiger 1200 xr,2018,Allround,Unknown,1215.0,139.0,In-line three,20.0,242.0,835.0
32622,triumph,tiger 1200 xr,2019,Allround,Unknown,1215.0,141.0,In-line three,20.0,242.0,835.0
32623,triumph,tiger 1200 xr,2020,Allround,Unknown,1215.0,141.0,In-line three,20.0,242.0,835.0
32624,triumph,tiger 1200 xr,2021,Allround,3.5,1215.0,141.0,In-line three,20.0,242.0,835.0
32625,triumph,tiger 1200 xrt,2018,Allround,3.7,1215.0,139.0,In-line three,20.0,243.0,837.0
32626,triumph,tiger 1200 xrt,2019,Allround,3.6,1215.0,139.0,In-line three,20.0,243.0,837.0
32627,triumph,tiger 1200 xrt,2020,Allround,3.3,1215.0,139.0,In-line three,20.0,243.0,835.0
