id,Brand,Model,Year,Category,Engine Size (cc),Power (hp),Engine Cylinder,Fuel Capacity (Lts),Weight (kg),Seat Height (mm),Power-to-Weight (hp/kg)
7663,Ducati,panigale 1299 r final edition,2019,Sport,1285,209.0,V2,17.0,168.0,830.0,1.24
7664,Ducati,panigale 959,2019,Sport,955,150.0,V2,17.0,176.0,830.0,0.85
7665,Ducati,panigale 959 corse,2018,Sport,955,150.0,V2,17.0,176.0,830.0,0.85
7666,Ducati,panigale 959 corse,2019,Sport,955,150.0,V2,17.0,176.0,830.0,0.85
7667,Ducati,panigale r,2015,Sport,1198,205.0,V2,17.0,162.0,830.0,1.27
7668,Ducati,panigale r,2016,Sport,1198,205.0,V2,17.0,162.0,830.0,1.27
7669,Ducati,panigale r,2017,Sport,1198,205.0,V2,17.0,162.0,830.0,1.27
7670,Ducati,panigale superleggera v4,2020,Naked Bike,998,221.0,V4,16.0,193.0,835.0,1.15
7671,Ducati,panigale v2,2020,Sport,955,155.0,V2,17.0,176.0,830.0,0.88
7672,Ducati,panigale v2,2021,Sport,955,155.0,V2,17.0,176.0,830.0,0.88
7673,Ducati,panigale v2 bayliss,2021,Sport,955,152.0,V2,17.0,174.5,835.0,0.87
7674,Ducati,panigale v2 bayliss,2022,Sport,955,152.0,V2,17.0,174.5,835.0,0.87
7675,Ducati,panigale v4,2018,Sport,1103,214.0,V4,16.0,175.0,830.0,1.22
7676,Ducati,panigale v4,2019,Sport,1103,214.0,V4,16.0,175.0,830.0,1.22
7677,Ducati,panigale v4,2020,Sport,1103,214.0,V4,16.0,175.0,835.0,1.22
7678,Ducati,panigale v4,2022,Sport,1103,215.0,V4,17.0,175.0,850.0,1.23
7679,Ducati,panigale v4 r,2019,Sport,998,217.0,V4,16.0,172.0,830.0,1.26
7680,Ducati,panigale v4 r,2020,Sport,998,221.0,V4,16.0,172.0,830.0,1.28
7681,Ducati,panigale v4 r,2021,Sport,998,221.0,V4,16.0,172.0,830.0,1.28
7684,Ducati,panigale v4 s,2020,Sport,1103,214.0,V4,16.0,174.0,835.0,1.23
7685,Ducati,panigale v4 s,2022,Sport,1103,215.0,V4,16.0,174.0,850.0,1.24
7686,Ducati,panigale v4 sp,2021,Sport,1103,214.0,V4,16.0,173.0,835.0,1.24
7687,Ducati,panigale v4 speciale,2018,Sport,1103,226.0,V4,16.0,174.0,830.0,1.3
7688,Ducati,panigale v4 speciale,2019,Sport,1103,226.0,V4,16.0,174.0,830.0,1.3
7692,Ducati,scrambler 1100,2018,Classic,1079,84.5,V2,15.0,189.0,810.0,0.45
7693,Ducati,scrambler 1100,2019,Classic,1079,84.5,V2,15.0,189.0,810.0,0.45
7694,Ducati,scrambler 1100 dark pro,2021,Classic,1079,86.0,V2,15.0,189.0,810.0,0.46
7695,Ducati,scrambler 1100 dark pro,2022,Classic,1079,86.0,V2,15.0,189.0,810.0,0.46
7696,Ducati,scrambler 1100 pro,2022,Classic,1079,86.0,V2,15.0,189.0,810.0,0.46
7697,Ducati,scrambler 1100 special,2018,Classic,1079,84.5,V2,15.0,194.0,810.0,0.44
7698,Ducati,scrambler 1100 special,2019,Classic,1079,86.0,V2,15.0,194.0,810.0,0.44
7699,Ducati,scrambler 1100 sport,2018,Classic,1079,84.5,V2,15.0,189.0,810.0,0.45
7700,Ducati,scrambler 1100 sport,2019,Classic,1079,84.5,V2,15.0,189.0,810.0,0.45
7701,Ducati,scrambler 1100 sport pro,2022,Classic,1079,86.0,V2,15.0,189.0,810.0,0.46
7702,Ducati,scrambler 1100 tribute pro,2022,Classic,1079,86.0,V2,15.0,194.0,810.0,0.44
7703,Ducati,scrambler cafe racer,2017,Classic,803,75.0,V2,13.5,172.0,805.0,0.44
7704,Ducati,scrambler cafe racer,2018,Classic,803,73.0,V2,13.5,172.0,805.0,0.42
7705,Ducati,scrambler cafe racer,2019,Classic,803,73.0,V2,13.5,180.0,805.0,0.41
7706,Ducati,scrambler cafe racer,2020,Allround,803,73.0,V2,13.5,180.0,805.0,0.41
7707,Ducati,scrambler classic,2015,Classic,803,73.8,V2,13.5,176.5,790.0,0.42
7708,Ducati,scrambler classic,2017,Classic,803,75.0,V2,13.5,176.0,790.0,0.43
7709,Ducati,scrambler classic,2018,Classic,803,73.0,V2,13.5,176.5,790.0,0.41
7710,Ducati,scrambler desert sled,2017,Enduro / Offroad,803,75.0,V2,13.5,191.0,840.0,0.39
7711,Ducati,scrambler desert sled,2018,Enduro / Offroad,803,73.0,V2,13.5,191.0,840.0,0.38
7712,Ducati,scrambler desert sled,2019,Enduro / Offroad,803,73.0,V2,13.5,193.0,840.0,0.38
7713,Ducati,scrambler desert sled,2020,Enduro / Offroad,803,73.0,V2,13.5,193.0,840.0,0.38
7714,Ducati,scrambler desert sled,2021,Enduro / Offroad,803,73.0,V2,13.5,193.0,840.0,0.38
7715,Ducati,scrambler desert sled,2022,Enduro / Offroad,803,73.0,V2,13.5,193.0,840.0,0.38
7716,Ducati,scrambler desert sled fasthouse,2021,Enduro / Offroad,803,73.0,V2,13.5,193.0,840.0,0.38
7718,Ducati,scrambler deus  ex machina,2015,Classic,803,73.8,V2,13.5,178.0,790.0,0.41
7719,Ducati,scrambler full throttle,2015,Classic,803,75.0,V2,13.5,170.0,790.0,0.44
7720,Ducati,scrambler full throttle,2017,Classic,803,75.0,V2,13.5,170.0,790.0,0.44
7721,Ducati,scrambler full throttle,2018,Classic,803,73.0,V2,13.5,170.0,790.0,0.43
7722,Ducati,scrambler full throttle,2019,Classic,803,73.0,V2,13.5,173.0,778.0,0.42
7723,Ducati,scrambler full throttle,2020,Allround,803,73.0,V2,13.5,173.0,778.0,0.42
7724,Ducati,scrambler icon,2015,Classic,803,75.0,V2,13.5,170.0,790.0,0.44
7725,Ducati,scrambler icon,2017,Classic,803,75.0,V2,13.5,170.0,790.0,0.44
7726,Ducati,scrambler icon,2018,Classic,803,73.0,V2,13.5,170.0,790.0,0.43
7727,Ducati,scrambler icon,2019,Classic,803,73.0,V2,13.5,173.0,778.0,0.42
7728,Ducati,scrambler icon,2021,Allround,803,71.9,V2,13.5,173.0,778.0,0.42
7729,Ducati,scrambler icon,2022,Allround,803,73.0,V2,13.5,173.0,798.0,0.42
7730,Ducati,scrambler icon dark,2020,Allround,803,72.4,V2,13.5,173.0,798.0,0.42
7731,Ducati,scrambler icon dark,2022,Allround,803,73.0,V2,13.5,173.0,798.0,0.42
7732,Ducati,scrambler mach 2.0,2018,Classic,803,73.0,V2,14.0,170.0,790.0,0.43
7734,Ducati,scrambler nightshift,2021,Allround,803,73.0,V2,13.5,180.0,798.0,0.41
